MOVIE,member_no,DEPARTMENT.y,gender,gender_count
Batman v Superman: Dawn of Justice_(2016),6,Makeup Department_,Other,1
Batman v Superman: Dawn of Justice_(2016),6,Makeup Department_,Women,27
Batman v Superman: Dawn of Justice_(2016),6,Music by_,Men,1
Batman v Superman: Dawn of Justice_(2016),6,Music by_,Other,1
Batman v Superman: Dawn of Justice_(2016),6,Produced by_,Men,13
Batman v Superman: Dawn of Justice_(2016),6,Produced by_,Women,3
Batman v Superman: Dawn of Justice_(2016),6,Production Design by_,Men,1
Batman v Superman: Dawn of Justice_(2016),6,Production Management_,Men,7
Batman v Superman: Dawn of Justice_(2016),6,Production Management_,Women,4
Batman v Superman: Dawn of Justice_(2016),6,Second Unit Director or Assistant Director_,Men,11
Batman v Superman: Dawn of Justice_(2016),6,Second Unit Director or Assistant Director_,Other,2
Batman v Superman: Dawn of Justice_(2016),6,Second Unit Director or Assistant Director_,Women,2
Batman v Superman: Dawn of Justice_(2016),6,Set Decoration by_,Women,1
Batman v Superman: Dawn of Justice_(2016),6,Sound Department_,Men,34
Batman v Superman: Dawn of Justice_(2016),6,Sound Department_,Women,2
Batman v Superman: Dawn of Justice_(2016),6,Special Effects by_,Men,34
Batman v Superman: Dawn of Justice_(2016),6,Special Effects by_,Other,2
Batman v Superman: Dawn of Justice_(2016),6,Special Effects by_,Women,7
Batman v Superman: Dawn of Justice_(2016),6,Thanks_,Other,1
Batman v Superman: Dawn of Justice_(2016),6,Visual Effects by_,Men,536
Batman v Superman: Dawn of Justice_(2016),6,Visual Effects by_,Other,43
Batman v Superman: Dawn of Justice_(2016),6,Visual Effects by_,Women,118
Batman v Superman: Dawn of Justice_(2016),6,Writing Credits _,Men,8
Batman v Superman: Dawn of Justice_(2016),3,Art Department_,Men,100
Batman v Superman: Dawn of Justice_(2016),3,Art Department_,Other,4
Batman v Superman: Dawn of Justice_(2016),3,Art Department_,Women,31
Batman v Superman: Dawn of Justice_(2016),3,Art Direction by_,Men,5
Batman v Superman: Dawn of Justice_(2016),3,Art Direction by_,Women,1
Batman v Superman: Dawn of Justice_(2016),3,Casting By_,Women,3
Batman v Superman: Dawn of Justice_(2016),3,Cinematography by_,Men,1
Batman v Superman: Dawn of Justice_(2016),3,Costume Design by_,Men,1
Batman v Superman: Dawn of Justice_(2016),3,Directed by_,Men,1
Batman v Superman: Dawn of Justice_(2016),3,Film Editing by_,Men,1
Batman v Superman: Dawn of Justice_(2016),3,Makeup Department_,Men,12
Batman v Superman: Dawn of Justice_(2016),3,Makeup Department_,Other,1
Batman v Superman: Dawn of Justice_(2016),3,Makeup Department_,Women,27
Batman v Superman: Dawn of Justice_(2016),3,Music by_,Men,1
Batman v Superman: Dawn of Justice_(2016),3,Music by_,Other,1
Batman v Superman: Dawn of Justice_(2016),3,Produced by_,Men,13
Batman v Superman: Dawn of Justice_(2016),3,Produced by_,Women,3
Batman v Superman: Dawn of Justice_(2016),3,Production Design by_,Men,1
Batman v Superman: Dawn of Justice_(2016),3,Production Management_,Men,7
Batman v Superman: Dawn of Justice_(2016),3,Production Management_,Women,4
Batman v Superman: Dawn of Justice_(2016),3,Second Unit Director or Assistant Director_,Men,11
Batman v Superman: Dawn of Justice_(2016),3,Second Unit Director or Assistant Director_,Other,2
Batman v Superman: Dawn of Justice_(2016),3,Second Unit Director or Assistant Director_,Women,2
Batman v Superman: Dawn of Justice_(2016),3,Set Decoration by_,Women,1
Batman v Superman: Dawn of Justice_(2016),3,Sound Department_,Men,34
Batman v Superman: Dawn of Justice_(2016),3,Sound Department_,Women,2
Batman v Superman: Dawn of Justice_(2016),3,Special Effects by_,Men,34
Batman v Superman: Dawn of Justice_(2016),3,Special Effects by_,Other,2
Batman v Superman: Dawn of Justice_(2016),3,Special Effects by_,Women,7
Batman v Superman: Dawn of Justice_(2016),3,Thanks_,Other,1
Batman v Superman: Dawn of Justice_(2016),3,Visual Effects by_,Men,536
Batman v Superman: Dawn of Justice_(2016),3,Visual Effects by_,Other,43
Batman v Superman: Dawn of Justice_(2016),3,Visual Effects by_,Women,118
Batman v Superman: Dawn of Justice_(2016),3,Writing Credits _,Men,8
Batman v Superman: Dawn of Justice_(2016),1,Art Department_,Men,100
Batman v Superman: Dawn of Justice_(2016),1,Art Department_,Other,4
Batman v Superman: Dawn of Justice_(2016),1,Art Department_,Women,31
Batman v Superman: Dawn of Justice_(2016),1,Art Direction by_,Men,5
Batman v Superman: Dawn of Justice_(2016),1,Art Direction by_,Women,1
Batman v Superman: Dawn of Justice_(2016),1,Casting By_,Women,3
Batman v Superman: Dawn of Justice_(2016),1,Cinematography by_,Men,1
Batman v Superman: Dawn of Justice_(2016),1,Costume Design by_,Men,1
Batman v Superman: Dawn of Justice_(2016),1,Directed by_,Men,1
Batman v Superman: Dawn of Justice_(2016),1,Film Editing by_,Men,1
Batman v Superman: Dawn of Justice_(2016),1,Makeup Department_,Men,12
Batman v Superman: Dawn of Justice_(2016),1,Makeup Department_,Other,1
Batman v Superman: Dawn of Justice_(2016),1,Makeup Department_,Women,27
Batman v Superman: Dawn of Justice_(2016),1,Music by_,Men,1
Batman v Superman: Dawn of Justice_(2016),1,Music by_,Other,1
Batman v Superman: Dawn of Justice_(2016),1,Produced by_,Men,13
Batman v Superman: Dawn of Justice_(2016),1,Produced by_,Women,3
Batman v Superman: Dawn of Justice_(2016),1,Production Design by_,Men,1
Batman v Superman: Dawn of Justice_(2016),1,Production Management_,Men,7
Batman v Superman: Dawn of Justice_(2016),1,Production Management_,Women,4
Batman v Superman: Dawn of Justice_(2016),1,Second Unit Director or Assistant Director_,Men,11
Batman v Superman: Dawn of Justice_(2016),1,Second Unit Director or Assistant Director_,Other,2
Batman v Superman: Dawn of Justice_(2016),1,Second Unit Director or Assistant Director_,Women,2
Batman v Superman: Dawn of Justice_(2016),1,Set Decoration by_,Women,1
Batman v Superman: Dawn of Justice_(2016),1,Sound Department_,Men,34
Batman v Superman: Dawn of Justice_(2016),1,Sound Department_,Women,2
Batman v Superman: Dawn of Justice_(2016),1,Special Effects by_,Men,34
Batman v Superman: Dawn of Justice_(2016),1,Special Effects by_,Other,2
Batman v Superman: Dawn of Justice_(2016),1,Special Effects by_,Women,7
Batman v Superman: Dawn of Justice_(2016),1,Thanks_,Other,1
Batman v Superman: Dawn of Justice_(2016),1,Visual Effects by_,Men,536
Batman v Superman: Dawn of Justice_(2016),1,Visual Effects by_,Other,43
Batman v Superman: Dawn of Justice_(2016),1,Visual Effects by_,Women,118
Batman v Superman: Dawn of Justice_(2016),1,Writing Credits _,Men,8
Batman v Superman: Dawn of Justice_(2016),40,Art Department_,Men,100
Batman v Superman: Dawn of Justice_(2016),40,Art Department_,Other,4
Batman v Superman: Dawn of Justice_(2016),40,Art Department_,Women,31
Batman v Superman: Dawn of Justice_(2016),40,Art Direction by_,Men,5
Batman v Superman: Dawn of Justice_(2016),40,Art Direction by_,Women,1
Batman v Superman: Dawn of Justice_(2016),40,Casting By_,Women,3
Batman v Superman: Dawn of Justice_(2016),40,Cinematography by_,Men,1
Batman v Superman: Dawn of Justice_(2016),40,Costume Design by_,Men,1
Batman v Superman: Dawn of Justice_(2016),40,Directed by_,Men,1
Batman v Superman: Dawn of Justice_(2016),40,Film Editing by_,Men,1
Batman v Superman: Dawn of Justice_(2016),40,Makeup Department_,Men,12
Batman v Superman: Dawn of Justice_(2016),40,Makeup Department_,Other,1
Batman v Superman: Dawn of Justice_(2016),40,Makeup Department_,Women,27
Batman v Superman: Dawn of Justice_(2016),40,Music by_,Men,1
Batman v Superman: Dawn of Justice_(2016),40,Music by_,Other,1
Batman v Superman: Dawn of Justice_(2016),40,Produced by_,Men,13
Batman v Superman: Dawn of Justice_(2016),40,Produced by_,Women,3
Batman v Superman: Dawn of Justice_(2016),40,Production Design by_,Men,1
Batman v Superman: Dawn of Justice_(2016),40,Production Management_,Men,7
Batman v Superman: Dawn of Justice_(2016),40,Production Management_,Women,4
Batman v Superman: Dawn of Justice_(2016),40,Second Unit Director or Assistant Director_,Men,11
Batman v Superman: Dawn of Justice_(2016),40,Second Unit Director or Assistant Director_,Other,2
Batman v Superman: Dawn of Justice_(2016),40,Second Unit Director or Assistant Director_,Women,2
Batman v Superman: Dawn of Justice_(2016),40,Set Decoration by_,Women,1
Batman v Superman: Dawn of Justice_(2016),40,Sound Department_,Men,34
Batman v Superman: Dawn of Justice_(2016),40,Sound Department_,Women,2
Batman v Superman: Dawn of Justice_(2016),40,Special Effects by_,Men,34
Batman v Superman: Dawn of Justice_(2016),40,Special Effects by_,Other,2
Batman v Superman: Dawn of Justice_(2016),40,Special Effects by_,Women,7
Batman v Superman: Dawn of Justice_(2016),40,Thanks_,Other,1
Batman v Superman: Dawn of Justice_(2016),40,Visual Effects by_,Men,536
Batman v Superman: Dawn of Justice_(2016),40,Visual Effects by_,Other,43
Batman v Superman: Dawn of Justice_(2016),40,Visual Effects by_,Women,118
Batman v Superman: Dawn of Justice_(2016),40,Writing Credits _,Men,8
Batman v Superman: Dawn of Justice_(2016),2,Art Department_,Men,100
Batman v Superman: Dawn of Justice_(2016),2,Art Department_,Other,4
Batman v Superman: Dawn of Justice_(2016),2,Art Department_,Women,31
Batman v Superman: Dawn of Justice_(2016),2,Art Direction by_,Men,5
Batman v Superman: Dawn of Justice_(2016),2,Art Direction by_,Women,1
Batman v Superman: Dawn of Justice_(2016),2,Casting By_,Women,3
Batman v Superman: Dawn of Justice_(2016),2,Cinematography by_,Men,1
Batman v Superman: Dawn of Justice_(2016),2,Costume Design by_,Men,1
Batman v Superman: Dawn of Justice_(2016),2,Directed by_,Men,1
Batman v Superman: Dawn of Justice_(2016),2,Film Editing by_,Men,1
Batman v Superman: Dawn of Justice_(2016),2,Makeup Department_,Men,12
Batman v Superman: Dawn of Justice_(2016),2,Makeup Department_,Other,1
Batman v Superman: Dawn of Justice_(2016),2,Makeup Department_,Women,27
Batman v Superman: Dawn of Justice_(2016),2,Music by_,Men,1
Batman v Superman: Dawn of Justice_(2016),2,Music by_,Other,1
Batman v Superman: Dawn of Justice_(2016),2,Produced by_,Men,13
Batman v Superman: Dawn of Justice_(2016),2,Produced by_,Women,3
Batman v Superman: Dawn of Justice_(2016),2,Production Design by_,Men,1
Batman v Superman: Dawn of Justice_(2016),2,Production Management_,Men,7
Batman v Superman: Dawn of Justice_(2016),2,Production Management_,Women,4
Batman v Superman: Dawn of Justice_(2016),2,Second Unit Director or Assistant Director_,Men,11
Batman v Superman: Dawn of Justice_(2016),2,Second Unit Director or Assistant Director_,Other,2
Batman v Superman: Dawn of Justice_(2016),2,Second Unit Director or Assistant Director_,Women,2
Batman v Superman: Dawn of Justice_(2016),2,Set Decoration by_,Women,1
Batman v Superman: Dawn of Justice_(2016),2,Sound Department_,Men,34
Batman v Superman: Dawn of Justice_(2016),2,Sound Department_,Women,2
Batman v Superman: Dawn of Justice_(2016),2,Special Effects by_,Men,34
Batman v Superman: Dawn of Justice_(2016),2,Special Effects by_,Other,2
Batman v Superman: Dawn of Justice_(2016),2,Special Effects by_,Women,7
Batman v Superman: Dawn of Justice_(2016),2,Thanks_,Other,1
Batman v Superman: Dawn of Justice_(2016),2,Visual Effects by_,Men,536
Batman v Superman: Dawn of Justice_(2016),2,Visual Effects by_,Other,43
Batman v Superman: Dawn of Justice_(2016),2,Visual Effects by_,Women,118
Batman v Superman: Dawn of Justice_(2016),2,Writing Credits _,Men,8
Batman v Superman: Dawn of Justice_(2016),16,Art Department_,Men,100
Batman v Superman: Dawn of Justice_(2016),16,Art Department_,Other,4
Batman v Superman: Dawn of Justice_(2016),16,Art Department_,Women,31
Batman v Superman: Dawn of Justice_(2016),16,Art Direction by_,Men,5
Batman v Superman: Dawn of Justice_(2016),16,Art Direction by_,Women,1
Batman v Superman: Dawn of Justice_(2016),16,Casting By_,Women,3
Batman v Superman: Dawn of Justice_(2016),16,Cinematography by_,Men,1
Batman v Superman: Dawn of Justice_(2016),16,Costume Design by_,Men,1
Batman v Superman: Dawn of Justice_(2016),16,Directed by_,Men,1
Batman v Superman: Dawn of Justice_(2016),16,Film Editing by_,Men,1
Batman v Superman: Dawn of Justice_(2016),16,Makeup Department_,Men,12
Batman v Superman: Dawn of Justice_(2016),16,Makeup Department_,Other,1
Batman v Superman: Dawn of Justice_(2016),16,Makeup Department_,Women,27
Batman v Superman: Dawn of Justice_(2016),16,Music by_,Men,1
Batman v Superman: Dawn of Justice_(2016),16,Music by_,Other,1
Batman v Superman: Dawn of Justice_(2016),16,Produced by_,Men,13
Batman v Superman: Dawn of Justice_(2016),16,Produced by_,Women,3
Batman v Superman: Dawn of Justice_(2016),16,Production Design by_,Men,1
Batman v Superman: Dawn of Justice_(2016),16,Production Management_,Men,7
Batman v Superman: Dawn of Justice_(2016),16,Production Management_,Women,4
Batman v Superman: Dawn of Justice_(2016),16,Second Unit Director or Assistant Director_,Men,11
Batman v Superman: Dawn of Justice_(2016),16,Second Unit Director or Assistant Director_,Other,2
Batman v Superman: Dawn of Justice_(2016),16,Second Unit Director or Assistant Director_,Women,2
Batman v Superman: Dawn of Justice_(2016),16,Set Decoration by_,Women,1
Batman v Superman: Dawn of Justice_(2016),16,Sound Department_,Men,34
Batman v Superman: Dawn of Justice_(2016),16,Sound Department_,Women,2
Batman v Superman: Dawn of Justice_(2016),16,Special Effects by_,Men,34
Batman v Superman: Dawn of Justice_(2016),16,Special Effects by_,Other,2
Batman v Superman: Dawn of Justice_(2016),16,Special Effects by_,Women,7
Batman v Superman: Dawn of Justice_(2016),16,Thanks_,Other,1
Batman v Superman: Dawn of Justice_(2016),16,Visual Effects by_,Men,536
Batman v Superman: Dawn of Justice_(2016),16,Visual Effects by_,Other,43
Batman v Superman: Dawn of Justice_(2016),16,Visual Effects by_,Women,118
Batman v Superman: Dawn of Justice_(2016),16,Writing Credits _,Men,8
Batman v Superman: Dawn of Justice_(2016),11,Art Department_,Men,100
Batman v Superman: Dawn of Justice_(2016),11,Art Department_,Other,4
Batman v Superman: Dawn of Justice_(2016),11,Art Department_,Women,31
Batman v Superman: Dawn of Justice_(2016),11,Art Direction by_,Men,5
Batman v Superman: Dawn of Justice_(2016),11,Art Direction by_,Women,1
Batman v Superman: Dawn of Justice_(2016),11,Casting By_,Women,3
Batman v Superman: Dawn of Justice_(2016),11,Cinematography by_,Men,1
Batman v Superman: Dawn of Justice_(2016),11,Costume Design by_,Men,1
Batman v Superman: Dawn of Justice_(2016),11,Directed by_,Men,1
Batman v Superman: Dawn of Justice_(2016),11,Film Editing by_,Men,1
Batman v Superman: Dawn of Justice_(2016),11,Makeup Department_,Men,12
Batman v Superman: Dawn of Justice_(2016),11,Makeup Department_,Other,1
Batman v Superman: Dawn of Justice_(2016),11,Makeup Department_,Women,27
Batman v Superman: Dawn of Justice_(2016),11,Music by_,Men,1
Batman v Superman: Dawn of Justice_(2016),11,Music by_,Other,1
Batman v Superman: Dawn of Justice_(2016),11,Produced by_,Men,13
Batman v Superman: Dawn of Justice_(2016),11,Produced by_,Women,3
Batman v Superman: Dawn of Justice_(2016),11,Production Design by_,Men,1
Batman v Superman: Dawn of Justice_(2016),11,Production Management_,Men,7
Batman v Superman: Dawn of Justice_(2016),11,Production Management_,Women,4
Batman v Superman: Dawn of Justice_(2016),11,Second Unit Director or Assistant Director_,Men,11
Batman v Superman: Dawn of Justice_(2016),11,Second Unit Director or Assistant Director_,Other,2
Batman v Superman: Dawn of Justice_(2016),11,Second Unit Director or Assistant Director_,Women,2
Batman v Superman: Dawn of Justice_(2016),11,Set Decoration by_,Women,1
Batman v Superman: Dawn of Justice_(2016),11,Sound Department_,Men,34
Batman v Superman: Dawn of Justice_(2016),11,Sound Department_,Women,2
Batman v Superman: Dawn of Justice_(2016),11,Special Effects by_,Men,34
Batman v Superman: Dawn of Justice_(2016),11,Special Effects by_,Other,2
Batman v Superman: Dawn of Justice_(2016),11,Special Effects by_,Women,7
Batman v Superman: Dawn of Justice_(2016),11,Thanks_,Other,1
Batman v Superman: Dawn of Justice_(2016),11,Visual Effects by_,Men,536
Batman v Superman: Dawn of Justice_(2016),11,Visual Effects by_,Other,43
Batman v Superman: Dawn of Justice_(2016),11,Visual Effects by_,Women,118
Batman v Superman: Dawn of Justice_(2016),11,Writing Credits _,Men,8
Batman v Superman: Dawn of Justice_(2016),15,Art Department_,Men,100
Batman v Superman: Dawn of Justice_(2016),15,Art Department_,Other,4
Batman v Superman: Dawn of Justice_(2016),15,Art Department_,Women,31
Batman v Superman: Dawn of Justice_(2016),15,Art Direction by_,Men,5
Batman v Superman: Dawn of Justice_(2016),15,Art Direction by_,Women,1
Batman v Superman: Dawn of Justice_(2016),15,Casting By_,Women,3
Batman v Superman: Dawn of Justice_(2016),15,Cinematography by_,Men,1
Batman v Superman: Dawn of Justice_(2016),15,Costume Design by_,Men,1
Batman v Superman: Dawn of Justice_(2016),15,Directed by_,Men,1
Batman v Superman: Dawn of Justice_(2016),15,Film Editing by_,Men,1
Batman v Superman: Dawn of Justice_(2016),15,Makeup Department_,Men,12
Batman v Superman: Dawn of Justice_(2016),15,Makeup Department_,Other,1
Batman v Superman: Dawn of Justice_(2016),15,Makeup Department_,Women,27
Batman v Superman: Dawn of Justice_(2016),15,Music by_,Men,1
Batman v Superman: Dawn of Justice_(2016),15,Music by_,Other,1
Batman v Superman: Dawn of Justice_(2016),15,Produced by_,Men,13
Batman v Superman: Dawn of Justice_(2016),15,Produced by_,Women,3
Batman v Superman: Dawn of Justice_(2016),15,Production Design by_,Men,1
Batman v Superman: Dawn of Justice_(2016),15,Production Management_,Men,7
Batman v Superman: Dawn of Justice_(2016),15,Production Management_,Women,4
Batman v Superman: Dawn of Justice_(2016),15,Second Unit Director or Assistant Director_,Men,11
Batman v Superman: Dawn of Justice_(2016),15,Second Unit Director or Assistant Director_,Other,2
Batman v Superman: Dawn of Justice_(2016),15,Second Unit Director or Assistant Director_,Women,2
Batman v Superman: Dawn of Justice_(2016),15,Set Decoration by_,Women,1
Batman v Superman: Dawn of Justice_(2016),15,Sound Department_,Men,34
Batman v Superman: Dawn of Justice_(2016),15,Sound Department_,Women,2
Batman v Superman: Dawn of Justice_(2016),15,Special Effects by_,Men,34
Batman v Superman: Dawn of Justice_(2016),15,Special Effects by_,Other,2
Batman v Superman: Dawn of Justice_(2016),15,Special Effects by_,Women,7
Batman v Superman: Dawn of Justice_(2016),15,Thanks_,Other,1
Batman v Superman: Dawn of Justice_(2016),15,Visual Effects by_,Men,536
Batman v Superman: Dawn of Justice_(2016),15,Visual Effects by_,Other,43
Batman v Superman: Dawn of Justice_(2016),15,Visual Effects by_,Women,118
Batman v Superman: Dawn of Justice_(2016),15,Writing Credits _,Men,8
Batman v Superman: Dawn of Justice_(2016),36,Art Department_,Men,100
Batman v Superman: Dawn of Justice_(2016),36,Art Department_,Other,4
Batman v Superman: Dawn of Justice_(2016),36,Art Department_,Women,31
Batman v Superman: Dawn of Justice_(2016),36,Art Direction by_,Men,5
Batman v Superman: Dawn of Justice_(2016),36,Art Direction by_,Women,1
Batman v Superman: Dawn of Justice_(2016),36,Casting By_,Women,3
Batman v Superman: Dawn of Justice_(2016),36,Cinematography by_,Men,1
Batman v Superman: Dawn of Justice_(2016),36,Costume Design by_,Men,1
Batman v Superman: Dawn of Justice_(2016),36,Directed by_,Men,1
Batman v Superman: Dawn of Justice_(2016),36,Film Editing by_,Men,1
Batman v Superman: Dawn of Justice_(2016),36,Makeup Department_,Men,12
Batman v Superman: Dawn of Justice_(2016),36,Makeup Department_,Other,1
Batman v Superman: Dawn of Justice_(2016),36,Makeup Department_,Women,27
Batman v Superman: Dawn of Justice_(2016),36,Music by_,Men,1
Batman v Superman: Dawn of Justice_(2016),36,Music by_,Other,1
Batman v Superman: Dawn of Justice_(2016),36,Produced by_,Men,13
Batman v Superman: Dawn of Justice_(2016),36,Produced by_,Women,3
Batman v Superman: Dawn of Justice_(2016),36,Production Design by_,Men,1
Batman v Superman: Dawn of Justice_(2016),36,Production Management_,Men,7
Batman v Superman: Dawn of Justice_(2016),36,Production Management_,Women,4
Batman v Superman: Dawn of Justice_(2016),36,Second Unit Director or Assistant Director_,Men,11
Batman v Superman: Dawn of Justice_(2016),36,Second Unit Director or Assistant Director_,Other,2
Batman v Superman: Dawn of Justice_(2016),36,Second Unit Director or Assistant Director_,Women,2
Batman v Superman: Dawn of Justice_(2016),36,Set Decoration by_,Women,1
Batman v Superman: Dawn of Justice_(2016),36,Sound Department_,Men,34
Batman v Superman: Dawn of Justice_(2016),36,Sound Department_,Women,2
Batman v Superman: Dawn of Justice_(2016),36,Special Effects by_,Men,34
Batman v Superman: Dawn of Justice_(2016),36,Special Effects by_,Other,2
Batman v Superman: Dawn of Justice_(2016),36,Special Effects by_,Women,7
Batman v Superman: Dawn of Justice_(2016),36,Thanks_,Other,1
Batman v Superman: Dawn of Justice_(2016),36,Visual Effects by_,Men,536
Batman v Superman: Dawn of Justice_(2016),36,Visual Effects by_,Other,43
Batman v Superman: Dawn of Justice_(2016),36,Visual Effects by_,Women,118
Batman v Superman: Dawn of Justice_(2016),36,Writing Credits _,Men,8
Batman v Superman: Dawn of Justice_(2016),43,Art Department_,Men,100
Batman v Superman: Dawn of Justice_(2016),43,Art Department_,Other,4
Batman v Superman: Dawn of Justice_(2016),43,Art Department_,Women,31
Batman v Superman: Dawn of Justice_(2016),43,Art Direction by_,Men,5
Batman v Superman: Dawn of Justice_(2016),43,Art Direction by_,Women,1
Batman v Superman: Dawn of Justice_(2016),43,Casting By_,Women,3
Batman v Superman: Dawn of Justice_(2016),43,Cinematography by_,Men,1
Batman v Superman: Dawn of Justice_(2016),43,Costume Design by_,Men,1
Batman v Superman: Dawn of Justice_(2016),43,Directed by_,Men,1
Batman v Superman: Dawn of Justice_(2016),43,Film Editing by_,Men,1
Batman v Superman: Dawn of Justice_(2016),43,Makeup Department_,Men,12
Batman v Superman: Dawn of Justice_(2016),43,Makeup Department_,Other,1
Batman v Superman: Dawn of Justice_(2016),43,Makeup Department_,Women,27
Batman v Superman: Dawn of Justice_(2016),43,Music by_,Men,1
Batman v Superman: Dawn of Justice_(2016),43,Music by_,Other,1
Batman v Superman: Dawn of Justice_(2016),43,Produced by_,Men,13
Batman v Superman: Dawn of Justice_(2016),43,Produced by_,Women,3
Batman v Superman: Dawn of Justice_(2016),43,Production Design by_,Men,1
Batman v Superman: Dawn of Justice_(2016),43,Production Management_,Men,7
Batman v Superman: Dawn of Justice_(2016),43,Production Management_,Women,4
Batman v Superman: Dawn of Justice_(2016),43,Second Unit Director or Assistant Director_,Men,11
Batman v Superman: Dawn of Justice_(2016),43,Second Unit Director or Assistant Director_,Other,2
Batman v Superman: Dawn of Justice_(2016),43,Second Unit Director or Assistant Director_,Women,2
Batman v Superman: Dawn of Justice_(2016),43,Set Decoration by_,Women,1
Batman v Superman: Dawn of Justice_(2016),43,Sound Department_,Men,34
Batman v Superman: Dawn of Justice_(2016),43,Sound Department_,Women,2
Batman v Superman: Dawn of Justice_(2016),43,Special Effects by_,Men,34
Batman v Superman: Dawn of Justice_(2016),43,Special Effects by_,Other,2
Batman v Superman: Dawn of Justice_(2016),43,Special Effects by_,Women,7
Batman v Superman: Dawn of Justice_(2016),43,Thanks_,Other,1
Batman v Superman: Dawn of Justice_(2016),43,Visual Effects by_,Men,536
Batman v Superman: Dawn of Justice_(2016),43,Visual Effects by_,Other,43
Batman v Superman: Dawn of Justice_(2016),43,Visual Effects by_,Women,118
Batman v Superman: Dawn of Justice_(2016),43,Writing Credits _,Men,8
Batman v Superman: Dawn of Justice_(2016),697,Art Department_,Men,100
Batman v Superman: Dawn of Justice_(2016),697,Art Department_,Other,4
Batman v Superman: Dawn of Justice_(2016),697,Art Department_,Women,31
Batman v Superman: Dawn of Justice_(2016),697,Art Direction by_,Men,5
Batman v Superman: Dawn of Justice_(2016),697,Art Direction by_,Women,1
Batman v Superman: Dawn of Justice_(2016),697,Casting By_,Women,3
Batman v Superman: Dawn of Justice_(2016),697,Cinematography by_,Men,1
Batman v Superman: Dawn of Justice_(2016),697,Costume Design by_,Men,1
Batman v Superman: Dawn of Justice_(2016),697,Directed by_,Men,1
Batman v Superman: Dawn of Justice_(2016),697,Film Editing by_,Men,1
Batman v Superman: Dawn of Justice_(2016),697,Makeup Department_,Men,12
Batman v Superman: Dawn of Justice_(2016),697,Makeup Department_,Other,1
